australian_appl_no,patent_status_type,examination_section_name,invention_description
2006204017,GRANTED,CHEM 2 - Chemical Compounds,Adamantyl derivatives as inhibitors of the 11-beta-hydroxysteroid dehydrogenase Type 1 enzyme
2006204022,CEASED,MXT - Mixed Technology,Tripeptide and tetrapeptide thioethers
2006204032,LAPSED,MECH 3 - Process Engineering,Integrated electro-pressure membrane deionization system
2006204038,LAPSED,,Drug combination therapy and pharmaceutical compositions for treating inflammatory disorders
2006204041,LAPSED,,Electronic personalized clothing makeover assistant
2006204045,CEASED,CHEM 3 - Pharmaceuticals,"Conjugates for dual imaging and radiochemotherapy: composition, manufacturing, and applications"
2006204051,LAPSED,CHEM 1 - Biotechnology,Development and use of a new orthotopic genetically tractable non-human animal model for liver cancer
2006204052,LAPSED,CHEM 3 - Pharmaceuticals,Method of treating brain cancer
2006204056,LAPSED,MECH 4 - Medical Devices,Systems and methods for spinal stabilization with flexible elements
2006204067,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Synthesis of hybrid block copolymers and uses thereof
2006204069,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Topical stabilized prostaglandin E compound dosage forms
2006204070,CEASED,,Color changing light object and user interface for same
2006204072,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Inhibitors of checkpoint kinases
2006204082,LAPSED,,Hot start polymerase reaction using a thermolabile blocker
2006204083,LAPSED,,Nanoparticulate candesartan formulations
2006204085,GRANTED,ELEC 2 - Electronics and Communications,Integrated jet fluid level shutoff sensor and fuel tank vent for vehicles
2006204087,GRANTED,CHEM 1 - Biotechnology,Primer for nucleic acid detection
2006204091,LAPSED,,Prevention of thrombotic disorders with active vitamin D compounds or mimics thereof
2006204093,GRANTED,ELEC 3 - Computing,A computing device for signal testing methodology for long-only portfolios
2006204103,GRANTED,CHEM 3 - Pharmaceuticals,Treatment of drug-resistant proliferative disorders
2006204110,GRANTED,ELEC 3 - Computing,System and method for playing a game having online and offline elements
2006204120,LAPSED,CHEM 1 - Biotechnology,RNAi agents for maintenance of stem cells
2006204122,LAPSED,MECH 3 - Process Engineering,Solar control multilayer film
2006204125,GRANTED,MECH 4 - Medical Devices,Positive displacement flush syringe
2006204127,CEASED,MECH 3 - Process Engineering,Water-absorbent adhesive compositions and associated methods of manufacture and use
2006204133,LAPSED,,Blockade of ELR+CXC chemokines as a treatment for inflammatory and autoimmune disease
2006204136,LAPSED,,Compositions comprising O-acetylsalicyl derivatives of aminocarbohydrates and amino acids
2006204145,GRANTED,MECH 3 - Process Engineering,"Heterogeneous, composite, carbonaceous catalyst system and methods that use catalytically active gold"
2006204146,LAPSED,CHEM 3 - Pharmaceuticals,Biomarkers for identifying efficacy of tegaserod in patients with chronic constipation
2006204159,LAPSED,CHEM 2 - Chemical Compounds,Novel pyridine compounds
2006204161,CEASED,CHEM 1 - Biotechnology,"Derivatives of isothiazol-3(2H)-one 1,1-dioxides as Liver X Receptor modulators"
2006204164,CEASED,CHEM 2 - Chemical Compounds,"Non-anilinic derivatives of isothiazol-3(2H)-one 1,1-dioxides as Liver X Receptor modulators"
2006204173,GRANTED,ELEC 2 - Electronics and Communications,Shallow marine electromagnetic hydrocarbon prospecting
2006204178,LAPSED,,Locking device
2006204184,LAPSED,,"Topical compositions comprising one or more of 4-thiouridine, isomaltitol and uridine"
2006204192,GRANTED,ELEC 2 - Electronics and Communications,Improvements to high speed uplink packet access scheme
2006204197,GRANTED,ELEC 2 - Electronics and Communications,Apparatus and method for transmitting/receiving multiuser packet in a mobile communication system
2006204210,GRANTED,ELEC 2 - Electronics and Communications,System and method for controlling idle mode in a broadband wireless access communication system
2006204211,GRANTED,ELEC 2 - Electronics and Communications,System and method for allocating a channel quality information channel in a communication system
2006204217,LAPSED,MECH 3 - Process Engineering,"Thin-walled dosing device having an integrally moulded trigger and spring, and method for assembling same"
2006204228,GRANTED,"Vacant - A1 PBR, Plants and Biotechnology",Syrup composition comprising dexibupropen as an active ingredient and method for the preparation thereof
2006204232,GRANTED,ELEC 2 - Electronics and Communications,Communicating data block in wireless communication system
2006204242,GRANTED,ELEC 2 - Electronics and Communications,Apparatus and method for transmitting/receiving channel quality information in a communication system
2006204258,GRANTED,CHEM 2 - Chemical Compounds,1-thio-D-glucitol derivatives
2006204261,LAPSED,ELEC 2 - Electronics and Communications,Communication system and communication method
2006204262,LAPSED,ELEC 2 - Electronics and Communications,Communication system and communication method
2006204270,CEASED,CHEM 1 - Biotechnology,Method of producing lactic acid bacterium having antiallergic effect
2006204317,LAPSED,,Rigidified compounds for modulating heparanase activity
2006204327,CEASED,ELEC 2 - Electronics and Communications,System for channel allocation when radio resource connection is released in dual transfer mode
2006204334,GRANTED,MXT - Mixed Technology,"Methods and compositions for treating diabetes, metabolic syndrome and other conditions"
2006204379,CEASED,MECH 3 - Process Engineering,Nanoporous filter
2006204382,CEASED,CHEM 2 - Chemical Compounds,Compositions for immunizing against mycobacterium
2006204395,LAPSED,MECH 1 - Mechanical Engineering,Railway bogies
2006204396,GRANTED,CHEM 1 - Biotechnology,Method of mutagenesis
2006204405,GRANTED,CHEM 2 - Chemical Compounds,N- (heteroaryl) -1H-indole-2-carboxamide derivatives and their use as vanilloid TRPV1 receptor ligands
2006204424,GRANTED,CHEM 1 - Biotechnology,Ribosome display or mRNA display method with selection for increased stability of the protein
2006204435,GRANTED,MECH 3 - Process Engineering,Methods of separating feed materials using a magnetic roll separator
2006204440,GRANTED,MECH 2 - Construction and Mining,"Method for controlling pressure fluid operated percussion device, and percussion device"
2006204441,GRANTED,ELEC 1 - Physics,Arrangement for weighing transport vehicle load
2006204446,CEASED,MXT - Mixed Technology,"Composition for treating wood, method for treatment of wood and wood product"
2006204451,CEASED,CHEM 2 - Chemical Compounds,Triazolophthalazines as PDE2-inhibitors
2006204454,CEASED,CHEM 2 - Chemical Compounds,Triazolophthalazines as PDE2-inhibitors
2006204459,GRANTED,CHEM 3 - Pharmaceuticals,Synthetic immunoglobulin domains with binding properties engineered in regions of the molecule different from the complementarity determining regions
2006204461,CEASED,CHEM 4 - Polymers and Applied Chemistry,Supplemented matrices for the repair of bone fractures
2006204462,LAPSED,,Local treatment of bone defects with matrix releasing BMP or PTH
2006204470,LAPSED,CHEM 1 - Biotechnology,Bacteriophage resistant lactic acid bacteria
2006204475,CEASED,CHEM 1 - Biotechnology,"1, 5, 6-substituted-2-oxo-3-cyano-1, 6a-diaza-tetrahydro-fluoranthenes as anti-infective agents"
2006204480,LAPSED,CHEM 3 - Pharmaceuticals,Antibodies against IL-13 receptor alpha 1 and uses thereof
2006204488,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Method for the production of propene from propane
2006204496,LAPSED,CHEM 3 - Pharmaceuticals,Use of cyanine dyes for the diagnosis of proliferative diseases
2006204498,LAPSED,,Treatment apparatus
2006204505,LAPSED,CHEM 2 - Chemical Compounds,Disubstituted ureas as kinase inhibitors
2006204506,CEASED,MECH 1 - Mechanical Engineering,A device of determining uniformity of a batch of seeds
2006204517,GRANTED,CHEM 1 - Biotechnology,Transformed plant expressing a mutansucrase and synthesizing a modified starch
2006204518,CEASED,MECH 3 - Process Engineering,Laminate of thermoplastic film materials exhibiting throughgoing porosity
2006204521,GRANTED,CHEM 1 - Biotechnology,Transplastomic plants free of the selectable marker gene
2006204522,LAPSED,CHEM 2 - Chemical Compounds,Aryl piperazine derivatives for the treatment of neuropsychiatric disorders
2006204523,LAPSED,CHEM 1 - Biotechnology,X-ray structure of human FPPS and use for selecting FPPS binding compounds
2006204524,CEASED,CHEM 3 - Pharmaceuticals,Treatment of HCV disorders
2006204528,LAPSED,CHEM 1 - Biotechnology,Use of compounds involved in biosynthesis of nucleic acids to increase yield of bacterial cultures
2006204554,LAPSED,,Method of preventive treatment of allergy by oromucosal administration of an allergy vaccine
2006204556,CEASED,MECH 4 - Medical Devices,A machine for cutting fabric sheets for roller blinds
2006204563,LAPSED,CHEM 3 - Pharmaceuticals,Compounds and methods for regulating triglyceride levels
2006204565,LAPSED,MECH 2 - Construction and Mining,A starter element for stackable inter-engaging bricks.
2006204581,LAPSED,MECH 2 - Construction and Mining,A composite masonry building block
2006204584,LAPSED,,The fitness training machine
2006204585,GRANTED,MECH 2 - Construction and Mining,"Composition and method for treatment of residues in pumping, bore, and reticulation equipment"
2006204586,LAPSED,MECH 4 - Medical Devices,A lockable shield for a syringe
2006204587,LAPSED,ELEC 2 - Electronics and Communications,Damage alerting system
2006204591,CEASED,CHEM 3 - Pharmaceuticals,Detecting molecules
2006204592,CEASED,MECH 2 - Construction and Mining,Jig
2006204594,GRANTED,,A joint
2006204596,CEASED,MECH 2 - Construction and Mining,Locating means
2006204597,GRANTED,MECH 2 - Construction and Mining,Knock down signpost
2006204598,GRANTED,,Method and device for mandibular advancement
2006204599,LAPSED,MECH 1 - Mechanical Engineering,Bearing assembly for supporting a transmission shaft in a housing
2006204606,GRANTED,MXT - Mixed Technology,Access devices for inflatable and other boats
2006204672,LAPSED,CHEM 2 - Chemical Compounds,Synthesis of sodium narcistatin and related compounds
2006204673,GRANTED,MECH 4 - Medical Devices,Methods and systems for determining and selling wagering game outcomes to be viewed remotely
2006204678,GRANTED,MECH 2 - Construction and Mining,Temperature-controlled valve
2006204693,LAPSED,,Screw cap for bottle with non slip rin
2006204697,LAPSED,CHEM 1 - Biotechnology,Compositions and methods for protein design
2006204699,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Novel compositions for preventing and treating neurodegenerative and blood coagulation disorders
2006204705,CEASED,CHEM 2 - Chemical Compounds,ELISA assays using prion-specific peptide reagents
2006204709,LAPSED,,IRTA-2 antibodies and their uses
2006204716,LAPSED,MECH 4 - Medical Devices,Method of detecting myocardial dysfunction in patients having a history of asthma or bronchospasm
2006204724,LAPSED,CHEM 2 - Chemical Compounds,Cinnamide and hydrocinnamide derivatives with raf-kinase inhibitory activity
2006204730,GRANTED,MECH 4 - Medical Devices,Expandable osteoimplant
2006204734,CEASED,CHEM 4 - Polymers and Applied Chemistry,Antistatic agent for polymers
2006204750,GRANTED,CHEM 2 - Chemical Compounds,Heteroaryl sulfonamides and CCR2
2006204751,LAPSED,MECH 2 - Construction and Mining,Masonry blocks and masonry block assemblies having molded utility openings
2006204752,LAPSED,,Heteroaryl substituted quinolin-4-ylamine analogues
2006204755,GRANTED,MXT - Mixed Technology,Fire suppression systems
2006204757,LAPSED,CHEM 3 - Pharmaceuticals,Treatment method
2006204759,GRANTED,MECH 4 - Medical Devices,Database system for centralized clinical and research applications with data from wavefront aberrometers
2006204769,LAPSED,,Kits and improved compositions for treating lower urinary tract
2006204770,LAPSED,,System and method for permission-based access using a shared account
2006204771,LAPSED,ELEC 3 - Computing,"Systems, methods, and software for retrieving information using multiple query languages"
2006204780,LAPSED,,Deprotection and purification of oligonucleotides and their derivatives
2006204784,LAPSED,,Peptides for delivery of mucosal vaccines
2006204785,GRANTED,,"Method of treating or preventing tissue deterioration, injury or damage due to a neuro-, muscular- or neuro-muscular-degenerative disease, or restore tissue adversely affected by said disease"
